id,prices.amountMax,prices.amountMin,prices.availability,prices.condition,prices.isSale,prices.merchant,prices.shipping,asins 1,asins 2,asins 3,asins 4,asins 5,brand,categories 1,categories 2,categories 3,categories 4,categories 5,categories 6,categories 7,categories 8,categories 9,categories 10,categories 11,categories 12,categories 13,categories 14,manufacturer,name,upc,weight
AV2Z1Efc-jtxr-f39lm6,189.99,189.99,In Stock,New,FALSE,Bestbuy.com,,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
AV2Z1Efc-jtxr-f39lm6,194.82,194.82,In Stock,New,FALSE,Beach Audio Inc,Standard,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
AV2Z1Efc-jtxr-f39lm6,149.99,149.99,In Stock,New,FALSE,Bestbuy.com,,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
AV2Z1Efc-jtxr-f39lm6,147.99,147.99,In Stock,New,FALSE,Bestbuy.com,,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
AV2Z1Efc-jtxr-f39lm6,158.95,158.95,In Stock,New,FALSE,Alex Magic Electronics,Value,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
AV2Z1Efc-jtxr-f39lm6,154.99,154.99,In Stock,New,FALSE,Bestbuy.com,,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
AV2Z1Efc-jtxr-f39lm6,151.99,151.99,In Stock,New,FALSE,Bestbuy.com,,B0134EW7G8,,,,,Corsair,Car,Computers,Tablets,Accessories,Components,,,,,,,,,,,Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),8.44E+11,3.2 ounces
AVpgNkVc1cnluZ0-yJB6,55.99,55.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
AVpgNkVc1cnluZ0-yJB6,56.99,56.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
AVpgNkVc1cnluZ0-yJB6,65.99,65.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
AVpgNkVc1cnluZ0-yJB6,71.99,71.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
AVpgNkVc1cnluZ0-yJB6,63.99,63.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
AVpgNkVc1cnluZ0-yJB6,59.99,59.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
AVpgNkVc1cnluZ0-yJB6,64.99,64.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
AVpgNkVc1cnluZ0-yJB6,58.99,58.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
AVpgNkVc1cnluZ0-yJB6,57.99,57.99,In Stock,New,FALSE,Bestbuy.com,,B00UMP7TF2,,,,,Outdoor Tech,Bluetooth,Speakers,Audio,Video,Accessories,,,,,,,,,,,Outdoor Tech Buckshot Pro Bluetooth Speaker,"818,389,012,855,818,000,000,000",6.7 ounces
